team,ranking,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches,season
Manchester United,1,28,5,83,60,1,698,256,21,12,5,1,72,11,9,80,16,27,2,81,254,890,1,1222,,1,5,3,18723,,2397,,918,258,25686,,1,,2,37,25,2006-2007
Chelsea,2,24,3,64,62,4,636,216,14,16,3,6,41,23,6,127,22,24,4,74,292,982,0,1206,,1,3,2,16759,,2270,,897,231,24010,,2,,1,74,22,2006-2007
Liverpool,3,20,10,57,44,0,668,214,15,8,6,1,46,11,3,120,20,27,1,65,246,969,2,1115,,0,1,1,17154,,2800,,1107,282,24150,,1,,0,51,27,2006-2007
Arsenal,4,19,8,63,59,3,638,226,19,10,10,3,53,10,7,111,12,35,6,73,214,998,1,1202,,1,3,3,18458,,2045,,873,278,25592,,1,,0,88,27,2006-2007
Tottenham Hotspur,5,17,12,57,48,3,520,184,6,5,6,2,44,13,9,149,6,54,11,128,276,995,2,1412,,2,7,6,14914,,2408,,796,181,22200,,2,,0,51,24,2006-2007
Manchester City,14,11,18,29,59,4,454,147,5,3,2,0,23,6,5,142,14,44,0,110,234,986,1,1213,,2,3,2,12765,,2059,,811,198,19378,,4,,1,64,17,2006-2007
Manchester United,1,27,5,80,51,2,696,260,16,12,6,6,64,16,7,100,21,22,2,96,446,978,2,2022,1140,0,1,1,17422,90,2417,,936,261,26620,,10,627,0,47,23,2007-2008
Chelsea,2,25,3,65,63,5,605,199,12,10,7,1,52,13,3,128,21,26,4,101,506,917,4,1687,851,0,3,3,17252,91,2154,,945,253,26290,,8,687,0,62,19,2007-2008
Arsenal,3,24,3,74,55,3,627,208,13,14,5,1,65,9,7,110,15,31,0,91,505,878,1,1840,926,2,4,3,18831,92,1946,,888,234,28156,,2,776,1,45,26,2007-2008
Liverpool,4,21,4,67,45,1,686,214,13,7,5,2,51,16,7,93,18,28,0,83,614,1089,2,1952,1060,2,5,4,16360,57,2761,,932,237,25857,,4,613,1,42,22,2007-2008
Manchester City,9,15,13,45,50,4,423,143,5,5,2,2,34,11,3,103,11,53,4,151,482,916,3,1852,819,2,4,2,15149,45,2289,,695,156,23416,,7,559,2,45,43,2007-2008
Tottenham Hotspur,13,11,14,66,51,1,555,195,19,12,4,1,59,7,9,123,9,61,0,125,534,960,2,2043,1053,1,1,1,15466,56,2428,,994,238,24679,,6,612,0,46,21,2007-2008
Manchester United,1,28,4,68,61,5,715,230,9,7,4,4,56,12,12,99,24,24,,120,640,741,8,1322,716,1,3,3,19416,291,2192,,1039,257,30077,,3,579,0,56,22,2008-2009
Chelsea,2,25,5,68,50,3,797,248,17,12,2,2,59,9,4,114,22,24,,124,504,773,15,1069,585,1,1,0,19923,205,2121,,938,237,29962,,3,518,1,111,35,2008-2009
Liverpool,3,25,2,77,50,0,736,224,26,14,5,2,65,12,4,98,20,27,,66,657,927,5,1279,722,3,2,2,19505,192,2714,,1021,269,29875,,0,470,0,61,19,2008-2009
Arsenal,4,20,6,68,58,3,662,220,22,14,5,0,62,6,7,88,16,37,,87,872,875,6,1280,738,3,5,3,18991,225,2044,,1069,267,29877,,9,692,2,65,26,2008-2009
Manchester City,7,15,18,58,49,4,572,201,11,3,6,2,52,6,8,79,10,50,,124,740,939,18,1496,828,2,4,3,15971,187,2229,,690,210,26120,,7,578,1,54,34,2008-2009
Tottenham Hotspur,9,14,15,45,54,5,544,177,7,5,3,0,39,6,7,85,13,45,,122,743,781,7,1511,886,2,4,3,15723,170,2099,,1005,221,26576,,6,538,0,69,56,2008-2009
Chelsea,1,27,6,103,54,5,834,288,13,16,11,3,94,9,8,96,18,32,0,103,705,772,10,1055,560,1,5,4,18852,268,2071,,1083,286,28914,,3,503,1,87,30,2009-2010
Manchester United,2,27,7,86,49,4,695,221,12,14,6,3,77,9,6,85,19,28,0,100,602,828,13,983,584,0,2,2,19318,243,2205,,1156,297,28968,,2,622,0,65,18,2009-2010
Arsenal,3,23,9,83,56,1,660,233,15,11,3,2,65,18,9,93,14,41,3,89,839,818,26,1091,640,2,7,5,19291,334,1837,,1023,257,29807,,3,713,2,75,24,2009-2010
Tottenham Hotspur,4,21,10,67,58,1,681,226,13,12,2,2,59,8,6,117,13,41,4,129,804,844,10,1360,729,0,9,6,15474,122,2535,,912,241,25855,,6,516,3,93,48,2009-2010
Liverpool,5,18,11,61,55,5,642,189,20,6,3,0,53,8,4,62,17,35,0,81,763,958,6,1094,603,2,4,3,18575,142,2454,,1017,268,28704,,1,489,1,52,28,2009-2010
Manchester City,6,18,7,73,49,2,526,195,9,9,5,3,63,10,10,120,11,45,0,120,805,802,18,1269,689,1,7,5,16323,203,2335,,809,237,26446,,4,509,2,45,21,2009-2010
Manchester United,1,23,4,78,56,3,618,212,15,18,3,1,71,7,5,102,15,37,0,107,646,693,17,1053,634,1,6,5,18870,212,2279,2411,1005,243,26671,50,2,471,0,45,16,2010-2011
Chelsea,2,21,9,69,59,1,745,244,21,12,6,2,61,8,4,113,15,33,0,127,616,769,19,762,470,1,3,2,19236,252,2044,2465,995,257,27426,70,7,573,1,84,22,2010-2011
Manchester City,3,21,9,60,71,5,546,177,16,4,8,2,51,9,2,103,18,33,2,130,629,826,4,1206,680,0,4,3,17768,170,1721,2469,762,222,25892,51,2,520,1,66,27,2010-2011
Arsenal,4,19,8,72,65,6,654,238,23,9,4,1,67,5,3,93,13,43,0,94,709,772,3,1077,580,1,9,6,20150,373,1462,2278,928,252,28629,88,4,601,2,56,25,2010-2011
Liverpool,5,17,14,59,63,2,582,205,12,8,6,1,54,5,3,87,14,44,0,128,592,908,2,1073,563,3,8,7,16728,148,2038,2500,824,212,24941,43,6,493,0,74,26,2010-2011
Tottenham Hotspur,6,16,8,55,51,2,657,191,15,10,5,0,40,15,3,59,8,46,0,139,661,754,16,1363,800,1,6,4,16791,111,2407,2142,954,256,25438,51,6,560,2,68,50,2010-2011
Manchester City,1,28,5,93,51,5,738,250,21,10,7,1,73,20,6,85,17,29,1,111,631,694,6,930,525,2,3,2,20863,321,1734,2937,843,269,28620,65,6,480,1,39,21,2011-2012
Manchester United,2,28,5,89,51,1,646,243,17,16,9,2,74,15,2,89,20,33,0,138,574,803,6,1165,749,2,3,2,20184,103,2189,2765,1018,279,28113,64,3,521,1,37,26,2011-2012
Arsenal,3,21,10,74,64,4,637,236,15,9,2,2,64,10,9,88,13,49,0,93,605,751,25,766,411,5,4,3,20599,294,1665,2754,896,262,28338,74,3,587,1,52,27,2011-2012
Tottenham Hotspur,4,20,9,66,43,3,701,230,12,5,4,1,52,14,5,93,14,41,0,122,716,733,12,1045,561,1,1,1,19564,164,2323,2944,846,279,27761,62,6,539,0,28,12,2011-2012
Chelsea,5,18,10,65,74,4,671,224,20,12,4,0,60,5,2,70,10,46,1,111,637,698,5,881,477,1,6,4,18766,158,2021,2886,972,253,26276,37,10,571,0,70,17,2011-2012
Liverpool,9,14,14,47,53,5,667,207,33,8,1,2,40,7,3,128,12,40,0,108,505,728,5,720,365,3,5,4,18797,105,2260,2991,1103,309,26450,66,2,440,1,22,19,2011-2012
Manchester United,1,28,5,86,57,1,561,213,24,14,4,1,77,9,2,96,13,43,1,143,514,731,4,1319,848,4,0,0,19696,103,1973,2727,962,218,27264,65,5,506,0,38,28,2012-2013
Manchester City,2,23,6,66,62,3,660,231,16,6,4,2,57,9,6,75,18,34,1,111,492,683,3,1068,551,2,2,1,20061,161,1613,2720,860,269,27525,86,6,515,1,28,23,2012-2013
Chelsea,3,22,7,75,51,3,626,212,7,16,9,3,64,11,3,80,14,39,6,104,504,710,4,981,603,2,1,0,18425,52,2008,2790,863,240,25959,45,1,434,0,53,29,2012-2013
Arsenal,4,21,7,72,42,5,597,205,16,11,5,2,65,7,7,80,14,37,0,94,636,748,19,873,492,0,6,4,21110,226,1755,3079,951,260,28862,50,5,411,1,31,20,2012-2013
Tottenham Hotspur,5,21,8,66,55,2,681,241,17,6,0,2,50,16,6,77,9,46,0,90,721,745,8,1595,870,1,3,3,16647,101,2028,2542,884,262,25155,41,6,466,0,44,30,2012-2013
Liverpool,7,16,9,71,54,2,739,232,19,9,5,3,59,12,1,110,16,43,0,107,526,795,2,914,448,1,5,4,19802,101,2040,3004,794,284,27722,61,3,529,1,38,23,2012-2013
Manchester City,1,27,6,102,72,1,673,238,19,10,6,5,86,16,5,59,16,37,88,61,496,756,8,938,531,2,1,1,20761,120,1791,3195,892,283,28341,59,0,411,0,64,31,2013-2014
Liverpool,2,26,6,101,54,1,651,258,27,14,10,6,82,19,9,78,10,50,107,127,465,848,3,1339,750,6,4,3,19599,191,1895,2959,643,224,28172,64,5,427,1,36,29,2013-2014
Chelsea,3,25,6,71,57,3,692,229,19,6,5,2,54,17,5,106,18,27,96,95,380,733,4,1141,741,2,1,1,18266,53,2052,2800,809,248,26541,44,2,392,0,42,16,2013-2014
Arsenal,4,24,7,68,53,4,523,213,15,12,3,0,63,5,4,74,17,41,116,101,541,714,14,1207,703,2,6,5,21561,144,1799,3211,753,210,29825,50,3,367,1,70,27,2013-2014
